date,id,content,username
2:24 - 2019年5月6日,1125330418293706752,"++ #AfD wählen: Bargeld erhalten, Enteignungspolitik beenden! ++
Wir wehren uns entschieden die Enteignung von Vermögen durch Null-Zinspolitik! Zudem setzen wir uns für den Erhalt des Bargelds ein, denn Bargeld ist gelebte Freiheit! #EUWahl2019 #EP2019
 https://www.youtube.com/watch?v=e26TWFoqd5M …pic.twitter.com/GLXPFVOzvX",AfD
2:33 - 2019年5月7日,1125695186305257472,"❝Dieser undemokratische Vorgang zeigt erneut, dass die Türkei, insbesondere unter ihrem derzeitigen Präsidenten Erdogan, nicht zu Europa gehören kann und will.❞
@Joerg_Meuthen, #AfD-Spitzenkandidat zur #EUWahl2019, zur Wahlwiederholung in #Istanbul.
 https://www.afd.de/joerg-meuthen-sofortiger-abbruch-der-eu-beitrittsverhandlungen-mit-erdogan-tuerkei/ …pic.twitter.com/dSnwpk6JRZ",AfD
1:00 - 2019年5月7日,1125671695317176320,"Kürzlich unterhielt ich mich mit @Rahel_Kle im Rahmen des interessanten @dlfnova-Formats ""Ich würde nie…""  in einem Berliner 'Späti' - schauen Sie doch einmal rein:
#AfD #EUWahl2019 #Europawahl2019 #EP2019https://www.youtube.com/watch?v=BtIun9CGS84&feature=youtu.be …",Joerg_Meuthen
1:28 - 2019年5月7日,1125678770977898496,"++ #Resettlement-Programm startet: Bundesbürger bald mit Pflicht zu Integration? ++
1,4 Millionen Asylsuchende wollen nach Europa. Mehrheitlich besteht der  Wunsch, sich in Deutschland anzusiedeln.
Wehren Sie sich! Wählen Sie zur #EUWahl2019  die #AfD!
 https://www.facebook.com/alternativefuerde/photos/a.542889462408064/2402938899736435/?type=3&theater …pic.twitter.com/Qk68wsSDdW",AfD
8:33 - 2019年5月6日,1125423290158338050,#EP2019: #Orban bricht mit Weber - das wars dann wohl für ⁦@ManfredWeber⁩‘s Ambitionen.https://www.welt.de/politik/ausland/article193041809/Europa-Wahl-Ungarns-Ministerpraesident-Orban-bricht-mit-Manfred-Weber.html …,KrahMax
7:27 - 2019年5月6日,1125406678143336449,Schon wieder wurde @GuidoReil Opfer von Sachbeschädigung. Diese kriminellen & undemokratischen Umtriebe werden den Wiedereinzug der #AfD in das #Europaparlament nicht verhindern können. #Reil #EP2019 #Europawahl2019 #NRW https://www.facebook.com/AfDfuerNRW/posts/2681952651876699 … @AfD @Joerg_Meuthen @EUCommonSensepic.twitter.com/2hsCnxjsoz,AlternativeNRW
6:10 - 2019年5月6日,1125387235589705728,"++ #AfD-Kandidaten-Check zur #EUWahl: Dr. Sylvia Limmer (Listenplatz 9) ++
Sylvia #Limmer, 53, verheiratet und 2 Kinder war nach dem Abschluss eines Promotionsstudiums in einem Biotech-Start-Up tätig. Mit ihr zieht geballtes Fachwissen ins #EP2019 ein!
 https://www.youtube.com/watch?v=IbeBOeE43jQ …pic.twitter.com/pg978Jqhvz",AfD
3:35 - 2019年5月6日,1125348402731077632,"Es regt sich Widerstand in der #Wirtschaft! Der teuerste Strom der Welt, die höchsten Abgaben, kein #Handynetz, aber dafür das teuerste in #Europa. Verhinderung jeglicher #Innovation wird #Deutschland auf die Hinterbank katapultieren. Nur noch #AfD!https://bit.ly/2VhNG3Q ",AfDProtschka
3:13 - 2019年5月6日,1125342859748679681,"++ Tritt in den Bauch: Tätlicher Angriff auf Kandidatin der @AfD_Bremen! ++
Am Wochenende kam es zu einem folgenschweren Angriff auf die #AfD-Kandidatin für die Bremer Bürgerschaftswahl, Natascha #Runge (28).
#ltwBremen #HBWahl #Bremenwahl
 https://www.facebook.com/alternativefuerde/photos/a.542889462408064/2401344216562570/?type=3&theater …pic.twitter.com/x8tNU6XApw",AfD
1:59 - 2019年5月6日,1125324272522735616,"Eine einzige Farce!
Wer in Deutschland lebt, für den gilt nichts anderes als unsere Rechtsordnung. Wem das nicht passt, der findet unzählige andere Länder, wo er nach seiner Facon glücklich werden kann.
#AfD #Bundestag
 https://www.facebook.com/aliceweidel/posts/2501719929839227?__xts__[0]=68.ARA8pTpIZL6dB3iceuzIFRmID-3n3R6DdsYY03kxhdnDxG58aP-snMenfrNIOGA8vp1QfE3Z988Qomy-VeZ3yliSZ6N7kK873hzTV7HL6SFfbgs_SAsWWdFl_vfSlToAvs9pI-oQKeQmyB0HHHagQyYKOo6HemyUNOSYMw3WvuzdOguRF5z_z2moevEBr3q5iSS5ULYCL2uZNg0o9t0fdu05slNcCxKAOlq3MmyijX-LhaWVpT2pByiicmq2O4mM-A_JOqlabmbHwyj-YyJNlpecBY2T4cUKZEEsiDmW5pcb06OD8k5GU9tuXlnzNnSdQREYagGf6MkHCZh4DgGJWSQb0IXf&__tn__=-R …https://www.welt.de/politik/article192948725/Polygamie-Einbuergerung-bleibt-trotz-Mehrehe-moeglich.html?fbclid=IwAR3MioT2rnyFl6CVdQqwAKIZUg-r3Wsltax1RiOVS7vLnXU0nRU0NSdGEIY …",Alice_Weidel
1:35 - 2019年5月6日,1125318047898710017,"+++ Alexander #Gauland warnt im Interview vor einer #Islamisierung +++
»Das ist unsere Sorge: die schleichende Veränderung einer Gesellschaft, bis nur noch der Islam die Regeln bestimmt. Ich werde das nicht mehr erleben. Aber eine Gefahr ist das.«
#AfD
 https://www.faz.net/aktuell/politik/inland/afd-chef-gauland-verfasster-islam-nicht-mit-grundgesetz-vereinbar-16171578.html?fbclid=IwAR2QV-XkBMnHsH1phTDVA22yly39_2JLYBHdeus07Z92MqYqrcGFtixrGCM …pic.twitter.com/43xL8VWBh1",AfDimBundestag
12:17 - 2019年5月5日,1125117444404731905,Werden in islamischen Ländern eigentlich auch die christlichen Feiertage und Feste von den Staatssendern verkündet und erklärt? #Ramadanhttps://twitter.com/tagesschau/status/1125040738222379008 …,GtzFrmming
8:14 - 2019年5月5日,1125056284275953664,"+++ ❝Wir müssen Brüssel Einhalt gebieten!❞ +++
Unser Spitzenkandidat zur #EUWahl Prof. Dr. @Joerg_Meuthen gab in #Pforzheim einige Beispiele der tragisch-komischen Auswüchse des Brüsseler Paralleluniversums zum Besten. 
Am 26. Mai #AfD wählen!
#EP2019https://www.youtube.com/watch?v=ZAclBiSgg2s …",AfD
7:26 - 2019年5月5日,1125043973351854080,"++ Er entstellte eine 18-Jährige: Syrer entlässt sich selbst aus Psychiatrie +
Es gefiel ihm dort offenbar nicht: Der Gewalttäter Bahar M. entließ sich selbst aus der #Magdeburger Psychiatrie. Was läuft bei unserer Justiz eigentlich falsch?
#AfD
 https://www.facebook.com/540404695989874/posts/2394892530541072/ …pic.twitter.com/Hw56FN6T9D",AfD
23:42 - 2019年5月4日,1124927445260558336,"Guten Morgen !
Zeit, die Zerstörung unseres Wohlstands genauso zu stoppen wie die Verherrlichung der Elektromobilität. Zeit für Fakten statt linksgrüner Panikmache. Zeit für die #AfD.
#Elektroauto
#EP2019
#Europawahl2019
#EUWahl2019
 https://www.facebook.com/story.php?story_fbid=1292727934209242&id=554345401380836 …pic.twitter.com/k9XfUOUtEe",Joerg_Meuthen
12:50 - 2019年5月4日,1124763197133737984,"Ich bin schockiert. „Schüler #Niklas P. (17) gerät an eine ‚Gruppe junger Männer‘, wird so brutal zusammengeschlagen und gegen den Kopf getreten, dass er im Krankenhaus stirbt.“ Und die „jungen Männer“ kommen davon.
#AfDhttps://www.bild.de/regional/koeln/koeln-aktuell/bonn-pruegel-tod-von-niklas-17-ungesuehnt-ermittlung-eingestellt-61672374.bild.html?fbclid=IwAR1Z6tsAG624lpjg1IRXUs1bdEdqChfvqZKavEkPvgyPbJpP0IJxINLrTRs###wt_ref=https%3A%2F%2Fl.facebook.com%2F&wt_t=1556999377294 …",Alice_Weidel
9:31 - 2019年5月4日,1124713195912990721,"+++ Tätlicher Angriff auf unsere Kandidatin Natascha #Runge! +++
Der Bremer #AfD-Landesverband ist schockiert und erschüttert über die  nachstehend geschilderten Vorgänge, die sich gestern Abend gegen 23 Uhr ereignet haben:
#LtwBremen #HBWahl #Bremenwahl
https://www.facebook.com/afd.bremen/photos/a.169613486531811/1228977807262035/?type=3&theater …pic.twitter.com/I9Z23nu3B9",AfD_Bremen
8:59 - 2019年5月4日,1124705107591991296,"»Das Aufgeben der Nationen ist eine fundamentale Fehlentwicklung.«
Interessantes Kurzporträt unseres Kandidaten zur #EUWahl2019 Erich #Heidkamp (Listenplatz 12), ehemaliger Manager der Höchst AG.
#AfD #Europawahl2019 #EP2019
 https://www.afd.de/europawahl-kandidaten/#heidkamp …https://www.faz.net/aktuell/rhein-main/erich-heidkamp-kandidiert-fuer-die-afd-zur-europawahl-16163943.html …",AfD
8:52 - 2019年5月4日,1124703337046249472,"Sie haben sich immer schon einmal gefragt, wer u.a. für die ganzen hanebüchenen Meldungen hier auf Twitter verantwortlich ist?
Eine selbsternannte ""Faktenfinderin"" sitzt offenbar bei den Grünen. 
https://www.tagesspiegel.de/themen/agenda/kampf-um-deutungshoheit-wenn-parteien-auf-einmal-journalismus-machen/24269544.html?fbclid=IwAR10Qgh9KFQQjgDiDPzQQZOVgRtLk-bD28slw8A39JWjF4S6lqKE0Q6pUg0 …pic.twitter.com/OOXOHNviYb",AfD
8:07 - 2019年5月4日,1124691938119225345,"In der Stadtbücherei #Bonn hatten wir gestern eine durch den #AfD-KV BN sehr gut organisierte EU-Wahlkampfveranstaltung. Danke auch an @Loose_AfD, @twittschler, @Verena_Wester+Prof. #Neuhoff für diesen gelungenen Abend! #Europawahl2019 #EP2019 #EUWahl2019 https://www.facebook.com/martinschillermuenster/posts/2119243311699976 …pic.twitter.com/LoGFrmWQmw",1MartinSchiller
